PlayerName,prog_1,prog_2,prog_3,prog_4,prog_5,prog_6,prog_7,prog_8,prog_9,prog_10,prog_11,prog_12,prog_13,prog_14,prog_15,prog_16,prog_17,prog_18,prog_19,prog_20,prog_21,prog_22,prog_23,prog_24,prog_25,prog_26,prog_27,prog_28,prog_29,prog_30,prog_31,prog_32,prog_33,prog_34,prog_35,prog_36,prog_37,prog_38,prog_39,prog_40,prog_41,prog_42,prog_43,prog_44,prog_45,prog_46,prog_47,prog_48,prog_49,prog_50,prog_51,prog_52,prog_53,prog_54
Dahl Susan,3.9404,3.902,3.8716,3.9028,3.8964,3.9211,3.9146,3.9348,3.9283,3.9026,3.9517,3.9748,4.0081,4.0361,4.0581,4.0289,3.9866,4.0295,3.98,3.9446,3.9751,3.9579,3.9162,3.9406,3.8927,3.8702,3.8331,3.8015,3.7888,3.7661,3.7559,3.7384,3.7473,3.7265,3.7578,3.7789,3.7513,3.7278,3.7677,3.7659,3.7472,3.7456,3.7298,3.7283,3.7147,3.6981,3.6836,3.7001,3.6879,3.6679,3.6587,,,
Landau Laura,3.9648,3.9881,3.9608,3.9359,3.9109,3.8938,3.8773,3.8646,3.8526,3.8223,3.8101,3.769,3.7607,3.7138,3.708,3.7446,3.7368,3.6897,3.696,3.6621,3.6564,3.6736,3.6932,3.6688,3.6463,3.6688,3.6465,3.6414,3.6299,3.6248,3.6157,3.6114,3.6039,3.5997,3.5973,3.5924,3.5901,3.5848,3.5827,3.5766,3.6108,3.6188,3.5794,3.5878,3.5519,3.5511,3.5486,3.5479,3.5449,3.5443,3.5419,,,
Graham Lisa,4.1428,4.1722,4.2129,4.1903,4.1588,4.1588,4.1292,4.1559,4.1183,4.0944,4.0472,4.0782,4.1237,4.0979,4.0483,4.0287,4.0644,4.0434,4.0186,3.9787,3.9604,3.9911,4.0095,3.9692,3.9913,3.9842,4.0032,3.9956,4.0122,4.005,4.0305,4.0146,4.0427,4.028,4.0595,4.0455,4.0591,4.0172,4,4.0356,4.0501,4.0003,3.979,3.9357,3.9105,3.9452,3.9154,3.8794,3.8352,3.8193,3.7815,3.7704,3.7956,3.7832
Sacre Linda,4.3605,4.4057,4.3908,4.3501,4.3391,4.3823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farrell Lisa,4.1626,4.201,4.2314,4.2563,4.2849,4.302,4.3267,4.3394,4.3571,4.4044,4.3851,4.4194,4.4433,4.4146,4.4382,4.4452,4.4861,4.4911,4.4624,4.4674,4.4974,4.4523,4.4167,4.4482,4.487,4.4488,4.4181,4.4239,4.4366,4.4421,4.4523,4.447,4.4381,4.4448,4.4472,4.4538,4.4561,4.4627,4.4648,4.434,4.3875,4.4343,4.3898,4.3447,4.3727,4.3314,4.3078,4.2779,4.3059,4.2813,4.3046,,,
Piatt Linda,4.0363,4.0754,4.1245,4.0995,4.0604,4.0604,4.0295,3.991,3.9704,3.9974,4.0182,4.0507,4.0052,4.027,4.0766,4.0899,4.0542,4.0664,4.1097,4.1287,4.1706,4.1481,4.1803,4.1999,4.1565,4.1646,4.1179,4.1281,4.0894,4.1016,4.143,4.158,4.1236,4.1403,4.0952,4.1109,4.0741,4.0352,4.0129,3.985,3.9646,3.9437,3.9707,4.014,3.9805,3.9458,3.9738,4.0098,3.9778,3.9692,3.9243,3.9181,3.8693,3.8738
Attwood Mark,4.9701,4.9394,4.8947,4.9404,4.9756,4.9464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilfoyle Marla,4.2768,4.3194,4.296,4.329,4.3555,4.3555,4.3372,4.3757,4.3921,4.3651,4.3827,4.3502,4.3119,4.2724,4.2968,4.248,4.2708,4.2338,4.2468,4.2867,4.2766,4.2459,4.2338,4.2741,4.2604,4.2134,4.2232,4.2665,4.2542,4.2061,4.1864,4.2036,4.1865,4.2032,4.1881,4.203,4.2412,4.259,4.303,4.3156,4.3561,4.3655,4.3385,4.3692,4.4027,4.357,4.329,4.3582,4.3362,4.3521,4.3719,4.383,4.3594,4.3718
Kramer Mike,4.0062,3.9768,4.0002,4.0228,3.9963,3.9963,3.9515,3.9416,3.9805,3.9904,4.0376,4.0235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott Michael,4.5543,4.5934,4.6425,4.6175,4.5784,4.5784,4.5475,4.509,4.4884,4.5154,4.5362,4.5687,4.5232,4.545,4.5946,4.6079,4.5722,4.5844,4.6277,4.6467,4.6886,4.6661,4.6983,4.7179,4.6745,4.6826,4.6359,4.6461,4.6074,4.6196,4.661,4.676,4.6416,4.6583,4.6132,4.6289,4.5921,4.5532,4.5309,4.503,4.4826,4.4617,4.4887,4.532,4.4985,4.4638,4.4918,4.5278,4.4958,4.4872,4.4423,4.4361,4.3873,4.3918
Werner Mark,3.9838,3.9421,3.9665,3.9186,3.8961,3.859,3.8177,3.7878,3.7632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summers Nancy (Nan),3.9059,3.8722,3.8445,3.8729,3.8454,3.8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walker Nancy,4.3908,4.374,4.3594,4.3762,4.3877,4.41,4.3871,4.3938,4.3706,4.3766,4.3766,4.3698,4.3427,4.3346,4.3602,4.35,4.3765,4.3643,4.3544,4.3372,4.347,4.3303,4.3184,4.3035,4.3002,4.2984,4.2949,4.2929,4.2899,4.2882,,,,,,,,,,,,,,,,,,,,,,,,
Riley Nina,4.2894,4.3273,4.309,4.2745,4.2595,4.2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Patrick (Pat),4.1442,4.0975,4.1353,4.1771,4.1519,4.1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stokes Francis (Pepper),4.1343,4.1033,4.0676,4.0436,4.0685,4.048,4.0953,4.1296,4.1009,4.1332,4.1417,4.1176,4.1094,4.137,4.1283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blythe Richard,4.3904,4.3512,4.3822,4.4314,4.4795,4.4493,4.489,4.5188,4.4878,4.4405,4.4078,4.3735,4.3979,4.4266,4.4567,4.4883,4.5106,4.5333,4.5489,4.5664,4.5782,4.5824,4.5376,4.5425,4.5104,4.5157,4.4873,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodge Suzanne,4.154,4.1727,4.189,4.1471,4.1899,4.231,4.2597,4.2338,4.2592,4.2849,4.3133,4.2902,4.3133,4.2853,4.3055,4.2938,4.3016,4.2894,4.2831,4.2831,4.2888,4.261,4.2966,4.2709,4.2321,4.2137,4.2444,4.2029,4.2125,4.164,4.1748,4.2176,4.2259,4.2093,4.2513,4.2683,4.311,4.2885,4.2505,4.2565,4.2752,4.2803,4.2961,4.3006,4.3142,4.3617,4.3642,4.3177,4.3207,4.3606,4.363,,,
Lakip-Ochoa Rhonda,4.2551,4.2125,4.1852,4.1522,4.1522,4.1522,4.1818,4.2281,4.2657,4.3004,4.3476,4.3676,4.3396,4.2996,4.2802,4.2332,4.2467,4.2075,4.2304,4.1873,4.2105,4.2439,4.2439,4.2062,4.1846,4.2302,4.2517,4.221,4.2431,4.2751,4.2337,4.2668,4.3012,4.3463,4.3914,4.3506,4.3124,4.3543,4.3103,4.2747,4.2342,4.284,4.3006,4.2788,4.2971,4.2778,4.2928,4.3101,4.3564,4.382,4.3467,4.32,4.2708,4.2525
